"...1","Language","Family","ISO code","tokens","types","alpha","beta","beta_prime"
7,"Arabic","Austronesian","ar",1318,725,-0.679258991397653,-0.511995343808202,-1.52900546147512
9,"Basque","N/D","eu",1236,652,-0.677763668512679,-0.554392184144197,-1.53794284547661
15,"Bulgarian","Indo-European","bg",2273,653,-0.931996114596794,-0.756458611349517,-1.17697169742789
5,"Chinese","Sino-Tibetan","zh",2693,532,-0.729825651605165,-1.05370029128143,-0.899519546059241
10,"Estonian","Uralic","et",1250,654,-0.773298811346065,-0.495052584658174,-1.5808085561789
2,"Finnish","Uralic","fi",1113,672,-0.75144428892907,-0.356729010192563,-1.81829761048406
14,"German","Indo-European","de",1330,545,-0.732151922687012,-0.704187659992654,-1.27725805656178
4,"Indonesian","Austronesian","id",1302,488,-0.729158868679527,-0.761111086632131,-1.23567311474212
19,"Irish","Indo-European","ga",1640,598,-0.808672986611681,-0.742802907871315,-1.1885305088528
6,"Japanese","Japonic","ja",2325,517,-0.929018903489968,-0.979013487797479,-0.970646222153875
11,"Kannada","Dravian","kn",401,304,-0.432212775387873,-0.341007200095338,-2.15609056278108
1,"Korean","Koreanic","ko",996,557,-0.658411630130688,-0.480650536539539,-1.5572002807148
18,"Malay","Austronesian","ms",1288,462,-0.703940283790558,-0.798733327464575,-1.16868562559714
13,"Polish","Indo-European","pl",1334,655,-0.734855142514129,-0.574281706882427,-1.44860931734601
16,"Setswana","Atlantic-Congo","tn",1735,459,-0.909849377574854,-0.89553296202831,-1.03860034935202
17,"Slovak","Indo-European","sk",1444,726,-0.762000511730456,-0.546302346834828,-1.46557097901515
0,"Spanish","Indo-European","es",1559,509,-0.873215699354799,-0.78491422121065,-1.16170443713263
8,"Tagalog","Afro-Asiatic","tl",1509,453,-0.92542815492608,-0.819925146724558,-1.10033749549755
3,"Turkish","Turkic","tr",1310,696,-0.640995214132527,-0.561134087826517,-1.55248453304182
12,"Yoruba","Atlantic-Congo","yo",1437,385,-0.67575000252589,-1.0100048986609,-0.92218754970428
